,Subject,Body,date of crime,time of crime,approx time
106,UC Berkeley WarnMe: SHELTER IN PLACE Lifted Campus-wide04-21-202213:41:14," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


UC Berkeley WarnMe: The shelter in place has been lifted. Please leave the campus in a safe and orderly way via the closest route available. UCPD has determined based upon its investigation that it is appropriate to end the shelter in place. Buildings will remain locked.

 

In-person classes remain canceled for the day.








________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/abRXEC6vA8PdgO3uikOVKlIBMVo570doJuVMO-WgydS-pJK1qdStihOQVw_senK8GA5zyjlPzi7GxdcduqxYUDvtPHyj5v2LXUk1mz5GKSiF-RytEdOXcTisDshLlJrvlXVNr45EwQjlmllgWI-VdTF6xibzTl7zByvC3LKoMycPYPKduGGboyArfNObXZx9gFmYGWb9A2K2f9d7XmfOyBErvloQqPPjvLESAmvFWCFZfhbiSKKSi5Bh2mFoHxA5cYcGRUFBFEzjnRJldU0Mw4oMGnPtsehN6l7M0iVlzZ1GwJ7exhYd4-WNqSyKl7BrLQkMsfxGhrt8_KfBhxzOrHycVSW_j1rASCrM7r9H2oA27aJsGXkJcsRBXijQvtJRAluw3cIj1sdYUZvEgLCGhGCnQr0sDefEUSuVkabSSaBQ4gxMmvh9sUYBas9cAvEQ16VhN_8CkEYPSHC9aCw3QvzozWhsw69a-Z_A5d3Lu3h6vKcvU0zL93ObtpcX14VaO69V?language=en-US> .

",,,
107,UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21-202212:58:01," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

UC Berkeley WarnMe: A Campus-wide emergency alert and shelter-in-place has been issued. We will provide further instruction as soon as we can. Thank you for your patience during this trying and protracted situation. Your safety is our main concern.

 

Campus police continue to investigate this credible campus-wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on the campus. If you are in a building on the campus, please continue to stay where you are and move away from doors and windows. If you are outdoors on the campus, please leave the campus immediately.

 

All services on the campus are closed until further notice (e.g. libraries, dining, parking garages). 

 

In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time.

 

Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.

 

Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information




________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/DJhgaitv4nHb70siJl8hcWD6zvYSMMiq3mKHzin4uKS_nQenM_grqZHOUwbnGu9yMtFTvWtso2x8CWKf3Bl5kOTnGycuRTh0h-5HAWtqql9k61s7ZXTFx5iEJmEGsPS7BuEk0YTGx1YRhIwx9yJZjZ--ir4J2scHnkfwGnVMrp_ecyThiNoUJT64ey4UtQTU516QGkZ09cTHuwnC_XRurdcA0znP9lxqBi2Yiv7qduuiVbL9BV1x0vqTmI_oTjYkofIGz7dQPfJfF98vA8ayY5wCzHiDcCVo8Bll_wpyurYI5xZtv0UN4BC51zBX5Ix2lnvHFy4cDNXlRDMK8G5fR3r9yvpub0D9tSVoKW739D6x3zK1OKr-y_TgI2iNv2pVWchgifESsGWlSfXmrnnoyAD40bVNRzWF6g9D2Twis5bD-Qhg_JSNPWn1SpDLAF9A4eVTqdWvPsQpyMrUftdPBMDpLizvLl7jmxaDn-WEi-3By7oqIENh7bC1JyuXt7RGVrLc?language=en-US> .

",,,
108,UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21-202212:39:41," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

UC Berkeley WarnMe: A Campus-wide emergency alert and shelter-in-place has been issued. We will provide further instruction as soon as we can. Thank you for your patience during this trying and protracted situation. Your safety is our main concern.


Campus police continue to investigate this credible campus-wide threat. If you are not on the campus, please stay away from the area. Facilities Services is locking buildings on the campus. If you are in a building on the campus, please continue to stay where you are and move away from doors and windows. If you are not in a building on the campus, please leave the campus immediately.


All services on the campus are closed until further notice (e.g. libraries, dining, parking garages). 


In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time.


Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.


Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information.

 


________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/lTnE9o6MmiL9cDQrXA3Yj4iWqvN-OH0HDx4vNsbJhwnTz1YqR_TAngR-oxjhy8sL_XnnnXbJrMZ3Lz01hrWJbhLhfNhmaG81y_y_eqvxVZbxnJMpcnZgswscp7jyK7Dyu5qVPWBfGATo-KGpHMKQF5qsK03GUKn3QyCFXZqIW_-W2iD4fsHicgBG75y3psyworPFBVr6vNfR-kTAIbU-auIJH_ZNVdo9hHHLsqhPB5WLXSA-i2T0zdh7mNC7waNHBi0TC4aqUgVxA_-o12WRnwwruEJXxHXbDvL7KuwvRU9jpi9zWobaqXbyZ_QMNSVWbxfPPsUU3wo5zU2OujcZgdkOToAmTfpmRTOfkulVKjJ7TCF-6VyaVRJf9CX5eLR6qpeuCuah5zSGDHOaplCqriF0qUEwNokxPjM5Qq5f7_g3qaibwLXA2Zkk_pZakihnUUiUcLSK7VjGpo8MD8FH6pCAHJasNyNlaml2lWt45Nl8qiUSKR57HZB4xS8DXKQnMOO-?language=en-US> .

",,,
109,UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21-202212:18:57," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

UC Berkeley WarnMe: A Campus-wide Emergency alert has been issued. There is no new information at this time. Campus police continue to investigate this credible campus-wide threat. If you are not on the core campus, please stay away from the area. Facilities Services is locking buildings on the core campus. If you are in a building on the core campus, please continue to stay where you are and move away from doors and windows. If you are not in a building on the core campus, please leave the campus immediately.


All services on the core campus are closed until further notice (e.g. libraries, dining, parking garages). 


In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time.


Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.


Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information.




________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/74iJfe_5iFihV6wG2NVYQQ6_nWb1HBvyvz4lpFSyAoA0QfSSJnLIGeXyfBrMqsryHdor3gyQSrwworD2GttTi13txkp1DnKId8RtMTaGd8nwDydujQ14y4mJG5EKJuOjmi2sGSeZd_iMSwFhXsvUbjLVsyij3x1SrGUwjLM2wBiPr23zBKVm9g5m4zvxIAQzjwW2GZH_5WgFERG_q6bhmCF1bmA8dKfY9QVsmOLQKZKW2zHD0H6oonUTFt68hok92dJkDj6RX3stxQ0XEFANAmPkukXzERifq0JGRy_D-WycsDT3uWTCtCHN1kwxaYG3a7AttnftMLPepN8pxRn8d49s8gyVj0F-W4mKgR8dEYNOO7EL5OfC4S9WlufrKyY4r1apiXzokkR2j3zQvDzkMaTG1S3QXc5OZA-KrM0kqYxDV0baKKhhseUSLjv_XC4k0rFrdfzRZP_Rq5MqcyxdwSohuQywupinJq69aSYWeCXLdgPtwWkiE1Oe5f0oOiwD5Moo?language=en-US> .

",,,
110,UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21-202212:02:48," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

UC Berkeley WarnMe: A Campus-wide Emergency alert has been issued. There is no new information at this time. Campus police continue to investigate this credible campus-wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on campus. If you are in a building, please stay where you are and move away from doors and windows. If you are not in a building, please leave the campus immediately.


All campus services are closed until further notice (e.g. libraries, dining, parking garages). 


In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time.


Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.


Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information.




________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/f56GMjeiRrOm3nhHLMvrXFKKhg_xqo9-Vcsma2zidahVjcYXi-UbLcEtKHs-bR-1YLKA55BLRDQ-_n1D9bJ6jhkHLOld3qK3l5KM-UClBdnXGtlAS8PD9xpGWB9wjQMAskocn-Dmmy6DbkvvqUZ4uyWbwccyiP-6tHktgJ2Ixgn_XYuTbLss0Gg5uv7qPmWZqonu9hPZm1ATnxalLVag1ZLNZNBrQ_SDUWicsebgaLZcDjNQhB10twN-rGe73vDvJ84uiPhI8q39mfaKo0Dt7AQJ71bJ0aBigX9NipaqvjV_2e79HTUO8py6uy6KvOVhmHpgNuvecwKY_zSLydMqLGhrQhb_ezkJmhjgtIw7ghtjw5FXdY84SKP9wGS-ij_aEtnqsHohSQr7BAG0T-4WIHsBxR08tLwIVvNm5uhnp_pl-BTK3hr-jVWfPBLAIwe3HPIo1xyB-bPkxHiov_FLXkTCCm5ml1cEHPj4Cgkr1m2gIk_UsTcKk5DATZI4HE4WyxdJ?language=en-US> .

",,,
111,UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21-202211:48:12," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

UC Berkeley WarnMe: A Campus-wide Emergency alert has been issued. Campus police continue to investigate this credible campus-wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on campus. If you are in a building, please stay where you are and move away from doors and windows. If you are not in a building, please leave the campus immediately.


All campus services are closed until further notice (e.g. libraries, dining, parking garages). 


In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time.


Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.


Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information.




________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/r2TIKZW8CoZYP50P8xK-KkWbRu0XdD_9JpyXZqGs8Xj817u9qu9qSiu9atiIveAT7Ka8WmOwtweVuRLZU9oaPJ2gdPaaLuueRr4sgp1jYdaJF7ao_PNSM3AJ4RJQKu-eNc-KYj26vu3Vg3j827ChWOrRlyvx92nbhtdXnu9VtcGNP2q3e0mX5RrK1VBkughTGu-ENuq2xVSw7xLMX4UmZHTfgYKNrhms7Qxo_amck1cvDbUkO_GHZ81xJjevnro9mSDWsPdwSqmfy4kT2m2ny4qmbMGL_i8DoHPV9KqjdcyKHf5LvM862tG4ZmohMbyFrnmgx0kHFNo4tDCSiQhCdAbam_AQuyWh5EuFdZbziWlCYAhOi3OyNM7QeKDtbdO0wtOwtBNWf5IMfh6FkL7DNKG9_RHCfa0DFW7bFXSPvLZtrXC2RPEIJfSz9r3daDf5DP20glEs-fsHEwGf2chMZGXE99uiZh223jFhmezDBl8RWcm8Bew_QGdgRrzGw66_TTQj?language=en-US> .

",,,
112,UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21-202211:32:45," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

UC Berkeley WarnMe: A Campus-wide Emergency alert has been issued. Campus police continue to investigate this credible campus-wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on campus. If you are in a building, please stay where you are and move away from doors and windows. If you are not in a building, please leave the campus immediately.


All campus services are closed until further notice (e.g. libraries, dining, parking garages). 


In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time.


Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.


Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information.




________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/U3uBCbtnM0zAos1VErdFbtB5kwdZ7eHxckBjGBJR-qQJUkxnjCKOO-s_oTqHvaCSUwBUKS-Bdk5W1EOQfs1vZ_CVH3pPI48XvT_bruu5AO35W4_MTK3EF079jxMhZDZHFkXmmx-rAJpIGw69LQNqHVyREgdBbXNKC9ViHK8KCsyD-S3MGlu4Ao5WDGYGisFIsEG8rcS1M5d1mSsuh80va7_D2-uqDJqZuCDYig4OElWI-gNMFlfQ1_hIJB6GPwYwdx5tI0XKOZgKEfl7HlOEAlLsQyZVNimOfNzYcycO0XvbiroFpoOggc70TlRGmDNXPcAQDfaHIWNG1hHcWgzVc23HtL03fJFfvXLXWLITbaKEHlLHUuPoDJE9SSI2a_VbzQoY09Rw-Ib8vRw5N1R_pnZkh8j9rIBCXEkfUxB0otQTWmtwSRkwtuU4eg0FrExnsdXwZgV639ro8t-4CqootaQqvcJDR2cMhYyahG4snt59GYdr_J9YCvX_8GZx1fKQCck5?language=en-US> .

",,,
113,UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21-202211:17:03," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

UC Berkeley WarnMe: A Campus-wide Emergency alert has been issued. Campus police continue to investigate this credible campus-wide threat. If you are not on campus, please stay away from the area. Facilities Services is locking buildings on campus. If you are in a building, please stay where you are and move away from doors and windows. If you are not in a building, please leave the campus immediately.


All campus services are closed until further notice (e.g. libraries, dining, parking garages). 


In-person classes are canceled through the remainder of the day. Instructors are encouraged to  accommodate students and if possible record their remote classes to provide access to students at a later time.


Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.


Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/_fvAauN6AejFs5NnAsgEg986KsFmwgPK2fkz5tfJYNsiBSrKrb5IhU7yaf89lE2SW_rRRS2aSB06Vk0w12R_ERUuzuWNOj1Nc-71ozUGWBwykl0Pvqdnx2ZYWmgeJMeV4vjFwXGOeojETGbsA9f_05XB5WrSI7rtD8uvi7IwunN38EeGG86AZ-htME_hJX6sE8ir1RsB3ZmtMWXRlRsvHZ8vWeuhKbnVTm0ER992ciAxTmMNnhCCRnwS9ue8XWt3qjXIuM9XHkce0nGEAzSNW0lR7kq9CWcrTdHDQmjk30tM_A3b_r6HpGCmjTA6vegSSjN6CblM2L1-ct1-g4d6tXq_itmcMpaN8IqL5YXwdI05XM8cmwoheMn2MebnyXYEPI_pNxWvynd6QFlsufhG3u0-iRNKxVNAUsptByqhqgMDbjRhR4xWVFa9J9MW_QawBgXM2e5nCyS8exIkRu3RjbdO--aERqnXiPQQNwSEpw_LHyegn_ddxqs8yBuuIL0lwsyc?language=en-US> .

",,,
114,UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21-202210:44:36," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

UC Berkeley WarnMe: A Campus-wide Emergency alert has been issued. Campus police are investigating a credible campus-wide threat. Please go inside and move away from doors and windows. If you are not on campus, please stay away from the area. Facilities Services are locking buildings on campus.


All campus services are closed until further notice (e.g. libraries, dining, parking garages). 


In-person classes are canceled through the remainder of the day. Instructors are encouraged to accommodate students and if possible record their remote classes to provide access to students at a later time.


Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.


Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information.




________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/yKkGmkgH-Zr5jPDHpS-2Ix411kqkh10i-NJ4yXPBpz9mxDpXmMDsZVEYjJSlGS5Rlk1gYv5xcKgYYvMZ9ul2Tr99-cBzpm6sbN4kbX99YRH6MDqTQgSPXOpdkyoxf65RaCLj3aPFETkoc_FifHghw6B-LlFbiE428Yvx47zQ4Rxbg2wnqaIIInT57ithU-0MJurQrwbx2mSyalxZJjqcQNJulqgCBv7SkEt7-f0OjYq0qmuzYSiHpLuIbTTflCQD6ML6eeWsJjj02YbbfQBVGk953GB_Utg37oM2ZY3PnIqRwaRsQRPhdsjlJmX0Q3V4zp9WuyN0ryA-X2VbDg_EGOQKCiridY-wvNzjm_c1qRPf_rTvtUY4ykF-LNZgbSpsvBrz5vE1BwOZKQLpn1ZH9s_Q8y5key5nTYPi8CokZ346IbGaIbIsjsHFwV4jmtGiwCoGuLtzfdjZ_OmUeoTF8JS-pXa1R7SCTz-a2s3XyvfZzUxoBpH-eXb39xU73NN9ojU1?language=en-US> .

",,,
115,UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21-202210:20:20," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

UC Berkeley WarnMe: A Campus-wide Emergency alert has been issued. Campus police are investigating a credible campus-wide threat. Please go inside and move away from doors and windows. If you are not on campus, please stay away from the area. Facilities Services are locking buildings on campus.


Shelter in place. Emergency personnel are responding. We will send updates approximately every 15 minutes or sooner if needed.


Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information.




________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/jnifJ2teI0I-Q6BqZSDP-1meyvMKHNHpuGnQ-6xi9IkUgn9n4gwL_6SkaUEQ40dr-mp7JyILJULEZdzM3QKbeC_5kOSDYj3n8e7qfj3B4_zYx1tTSXvF-EvBzhMkn5p3jEEP2UfOjeFB04C00ihLuIOiWUowsyftFQHSJh7FL298gjQZhYnqBt_-1Mo4fwfQKmDqrNGy41a7IWqtbCdWRgiArX7pN7S2IEyTO-_VO-2O-E_t0k3Kh_7O9VPuCwBZ2rxQfnPUgm5fHgk9Qq-Di5VRV2k9DeJ7F_SUYpS8UuzOosTgV4WLB9JNfv1mSdMAon5641v5L2qBv5j_MpujusUoi_bIxlpOPMO9bGVt1NPrvJyMiPxPkstxl98OcxAOmzlWPhqP77OYYUYisFFs-NPnwmGkmgd0-T5Nsv3ppCNLQvh0vp6kNHlKX-DVkix475A0VhSU3Ko_rAlsqgicG2nnEu8tAZ-K_j9ccDmyDAUckclWQea_X1sirYisuZj3CmxA?language=en-US> .

",,,
116,UC Berkeley WarnMe: SHELTER IN PLACE Campus-wide04-21-202210:00:55," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


UC Berkeley WarnMe: A Campus-wide Emergency alert has been issued. Campus police are investigating a credible campus-wide threat. Please go inside and move away from doors and windows. If you are not on campus, please stay away from the area. Facilities Services are locking buildings on campus.




Shelter in place. WarnMe will send regular updates.





Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information.

 






________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/vqjRCJ5KyPxd17F1ATsBCaeBz-9kcMcoZwR-Yh7KZk9LxYMJ3qrK6nMAcotAbhDQXOCP_N484pFNFqIFKdHye68IIIAk36Gsvc3RVXuLLic_C07x0KG0gtKf21ySGWcFfirPhTmVwLZ4jl85Gd_oENQltan1iQFLswY9Cpu6dgI6pjdKVtUeBjUHBw3xXznAcwhEHqgYhkvREA73scMb6NY2iqES2a9Fonod-D1cCQaUvf0RTpo0GKMCpGGNGS4i3ukM2nUTcuQV3QGuX42fmyRZFqVJbv6zs2drByGNM6V-mu-C3sG6btPPJkNDASEzYRRL7q5ca-grzhc_aKqnYBQGKoi7AlzAYVZB80XO-Hs-DvlGgwWVMK92JMTxm-Xh5u8isWyYZnkYE1I2puLPicOAwC4P-NGJ1UnR5sp_nM-B6lgBAingymlPzrK3MZWxvLrXDD0UEgAEhTVXBy-SiNQkgXOij71JGSrDro8GlIpRPHdCb3mFyxESzKcnSOe42m2H?language=en-US> .

",,,
117,UC Berkeley WarnMe: SHELTER IN PLACE Near Campus-wide04-21-202209:30:24," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

An Emergency has occurred near Campus-wide. Please go inside and move away from doors and windows. 04-21-202209:30:24
Police activity on campus. Shelter in place and stay tuned to WarnMe for updates.

Emergency personnel are responding.

Stay tuned to UC Berkeley WarnMe, KALX 90.7 FM, and news.berkeley.edu <https://news.berkeley.edu/>  for continued information.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/Z_fnLzgzPXbeGDPl2zD23opoWXu4Sq47-kw9ypv8EyTxDTNQYsI59MnenknL8yFOH2dM370PvDkxrF1gAJqdGeqtKlahqAkKD_UMYIsIhJFgsQnxzYdVF00M9gtFcgsAevgXHlgpD3SXVUPb8-3hyBl6htZVZLuHNEWfgFpr1fUXVF3no3yz1p5C-6TriMF5N08M2VKljYhugtCdVZZBabkaz6HMaXiW3TiZ_bs_sh4SK8RAUwAJg8aquMRNc_N75jP2k6F41wYkfuMjBMOBJ_tXbqXCrwgGK7vJSZcxMK9C4u8zR1Yx4HmJpRnshjZgw2u4U_XwSlm2a1y1c2-n5THYAn6pMn4Yar61uus25lxCnc0rfhGvqTQZr8aWD21nAoWnvLJ33blOIkH4B_ITAzD4tqMuxhyOFfI7id-PWN_bJqKaVcvnafxg2r9XWZHdqvWzuWiVPSWBQUmHITFBe-o-if51FuUQx2TYFzWbHOTgRHG1swlxjtIxJVMAf0fh8Qjk?language=en-US> .

",04-21-2022,09:30,
118,Burglary at 2811 Channing Way," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


Please note this message may contain information that some may find upsetting.

On 04-21-2022 00:25:00, a burglary occurred at 2811 Channing Way.

On 4/21/22 at approximately 0025 hours, an attempted burglary was interrupted at the location. A suspect was contacted by a resident and the suspect fled the area prior to making entry into the building. 

The suspect is described as male, between 25-30 yrs old, wearing a black beanie, black hooded sweatshirt with a white t-shirt underneath, black pants. Last seen leaving the area E/B from the location. 

If you have any information contact the Berkeley Police Dept. Case #22-18196

If you have any information about this crime, or if you know about any recent similar incidents, please contact:
Berkeley Police (510) 981-5900

UCPD would like to remind the campus community about the following safety tips:

*	Keep your doors and windows locked.
*	Familiarize yourself with the security systems and procedures utilized in your building. 
*	Keep a record of all keys issued. Master keys and extra duplicates should be locked away for safekeeping. 
*	Maintain an inventory of all office equipment; include the make, model and serial number of each item. Keep this inventory in a safe place. Keep it current by adding the identification numbers of all new equipment. 
*	Please do not delay in calling 911. UCPD strongly encourages the reporting of criminal or suspicious activity in a timely manner. 

For information regarding resources for victims of crime please refer to the UCPD Berkeley Resource Guide at https://ucpd.berkeley.edu/sites/default/files/resource_guide.pdf.

WHAT IS THIS NOTICE?
 
Timely warnings are released by the University of California Police Department when certain crimes are reported on or near campus property, in compliance with federal law, these timely warnings provide information about campus safety, and allow campus community members to take precautions. The reported information may not have been investigated or confirmed at the time the issuance of the warning.
 
Physical descriptions of a suspect, including race, are included in timely warnings only when they provide several details that might help distinguish the suspect’s appearance from the general population.

________________________________

To stop receiving future email notifications from this organization unsubscribe here <https://notifications.everbridge.net/unsubscription/email/OnCbpRL3DvdIucGDkN14ajDQtH_egyW-dbXqqO48T1Y0hWZNoF1j1FAeFPcanPw2QJBWEiuaHd89zkIW1Pf489p7n6C_RFDf38hyKvjyLRbikE-FQq1CyNoUL9LRcy0lArYEABT1q39ElO1eRwCPFvUs7UnbSxGrIHGWAZRbpbVWruXq8cuZhX-ZhmdZ1q46qkbwK0Rmu-WKXpaSeAutg0T8pHnbHmqzCvFkTDarH36vE-IVaKhVtAJYJxxDrwgLGimGj-lzpNlpUUU1OYIiTHP01_eL-c935tbN6TdE6kogNf7XxjB4YFpS1iKY6V3SLnJiT8OmDwRfxxYXYhP0G6HGjQY26hkO2WL45e_GHpYtXCL6VrBRcKNpPHPLAk6iQFbm0xKxzwZYOkt4utulZNSGkO99GAmG3RQMkLqeIDmcmEXnq1CnrKe82EQUqY4yQ04FuYgQOAat4MucNTfH_lGL6DT4B7DTdVHSPnAQHlfQlIXcxWTuoXQHNRXt2uA3T2lK?language=en-US> .

",04-21-2022,00:25,approximately 0025
120,UC Berkeley WarnMe: Fire at Peoples' Park - FIRE EXTINGUISHED 05-24-202207:44:48," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

The fire reported at People's Park has been extinguished.

UCPD and other emergency personnel continue to investigate at the scene.


",,,
122,UC Berkeley WarnMe: Fire at Peoples' Park - AVOID THE AREA 05-24-202207:03:30," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 

A fire has been reported at Peoples' Park. Evacuate to your Emergency Assembly Area if you are in the building. Please stay clear of responders in the area. 05-24-202207:03:30
Tent fire

UCPD and other emergency personnel are responding. 

On scene responders and staff will share any immediate next actions.

Stay tuned to UC Berkeley WarnMe for continued information.

",05-24-2022,07:03,
123,UC Berkeley WarnMe:  ALL CLEAR of Lewis Hall on the UC Berkeley main campus. 05-23-202223:26:43.," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 
UC Berkeley WarnMe:  ALL CLEAR of Lewis Hall on the UC Berkeley main campus. 05-23-202223:26:43.

Area clear of Lewis Hall.












",05-23-2022,23:26,
124,UC Berkeley WarnMe: AVOID THE AREA of Lewis Hall on the UC Berkeley main campus05-23-202222:58:50," <https://oem.berkeley.edu/sites/default/files/styles/panopoly_image_original/public/uc_berkeley_warnme_email_header_72_dpi.png?itok=C3GhP6Bl&timestamp=1621375615> 


AVOID THE AREA of Lewis Hall on the UC Berkeley main campus until further notice 05-23-202222:58:50. 

Continue to avoid the area of Lewis Hall on the UC Berkeley Main Campus until further notice.












",05-23-2022,22:58,
